drug_name,drug_class,indications,side_effects,side_effect_severity,approval_status
Seroxetine50,Antidepressant,Allergy relief,"Fatigue, Nausea",Mild,Pending
Mecoparin93,Vaccine,Allergy relief,Nausea,Mild,Approved
Daxozole89,Antipsychotic,Allergy relief,"Diarrhea, Blurred vision, Dizziness",Moderate,Pending
Viracillin84,Antifungal,Inflammation reduction,"Fatigue, Dry mouth",Mild,Rejected
Amoxstatin62,Antidepressant,Psychosis control,"Insomnia, Dry mouth, Fatigue",Moderate,Pending
Loxocillin72,Antifungal,Viral infections,"Rash, Dizziness",Moderate,Rejected
Fenoxetine43,Anti-inflammatory,Psychosis control,Blurred vision,Mild,Pending
Fenomab17,Analgesic,Bacterial infections,Nausea,Severe,Approved
Cefparin42,Analgesic,Prevent infectious disease,Dry mouth,Moderate,Approved
Rivaprofen81,Antibiotic,Bacterial infections,"Insomnia, Fatigue, Headache",Severe,Approved
Fenocillin43,Antiviral,Allergy relief,"Dizziness, Fatigue",Severe,Rejected
Amoxxetine60,Antihistamine,Allergy relief,Dry mouth,Moderate,Approved
Zylomab54,Antiviral,Fungal infections,"Rash, Diarrhea, Insomnia",Moderate,Approved
Amoxstatin52,Antibiotic,Depression treatment,"Constipation, Diarrhea, Blurred vision",Mild,Pending
Virazole50,Antipyretic,Viral infections,"Headache, Dizziness, Constipation",Severe,Rejected
Cefprofen42,Antipsychotic,Allergy relief,"Dizziness, Insomnia, Constipation",Severe,Approved
Cefzole42,Antidepressant,Pain relief,Blurred vision,Severe,Rejected
Fenomab41,Antibiotic,Fever reduction,"Headache, Diarrhea, Insomnia",Severe,Pending
Mecoparin65,Antiviral,Bacterial infections,"Fatigue, Diarrhea",Mild,Pending
Seroxetine86,Antibiotic,Inflammation reduction,"Rash, Fatigue",Severe,Pending
Zylostatin70,Antipyretic,Depression treatment,"Diarrhea, Insomnia",Severe,Approved
Amoxstatin45,Antipsychotic,Inflammation reduction,Diarrhea,Severe,Pending
Cefmab58,Antipsychotic,Fungal infections,Headache,Mild,Rejected
Amoxvir52,Antihistamine,Fungal infections,"Dry mouth, Insomnia",Mild,Rejected
Zyloparin93,Antiviral,Bacterial infections,Fatigue,Severe,Pending
Daxoprofen23,Antibiotic,Pain relief,"Fatigue, Nausea",Mild,Rejected
Loxomab59,Antipsychotic,Bacterial infections,Dry mouth,Severe,Pending
Serodipine76,Antipsychotic,Fungal infections,"Fatigue, Diarrhea",Severe,Approved
Loxozepam62,Anti-inflammatory,Depression treatment,"Insomnia, Rash, Constipation",Moderate,Pending
Rivaprofen67,Anti-inflammatory,Fever reduction,"Fatigue, Nausea, Dizziness",Severe,Rejected
Viraparin11,Antipyretic,Bacterial infections,Insomnia,Mild,Rejected
Fenoparin78,Antidepressant,Allergy relief,Fatigue,Mild,Approved
Cefmab22,Anti-inflammatory,Depression treatment,"Rash, Dizziness, Diarrhea",Severe,Approved
Fenocillin11,Antihistamine,Depression treatment,Headache,Severe,Approved
Daxoparin20,Antipsychotic,Fever reduction,"Diarrhea, Blurred vision, Headache",Moderate,Approved
Amoxzepam36,Vaccine,Inflammation reduction,"Headache, Dry mouth, Nausea",Moderate,Pending
Mecodipine51,Antiviral,Allergy relief,Insomnia,Moderate,Rejected
Daxomab60,Antiviral,Bacterial infections,Rash,Moderate,Rejected
Viraparin98,Antipsychotic,Inflammation reduction,"Constipation, Diarrhea, Blurred vision",Mild,Pending
Mecoprofen83,Antidepressant,Pain relief,"Blurred vision, Nausea",Mild,Rejected
Mecozole78,Antipyretic,Prevent infectious disease,"Dizziness, Diarrhea",Moderate,Rejected
Amoxvir15,Anti-inflammatory,Bacterial infections,"Nausea, Dry mouth, Diarrhea",Moderate,Approved
Cefcillin81,Antiviral,Depression treatment,"Headache, Blurred vision",Mild,Rejected
Amoxvir70,Antipsychotic,Viral infections,"Dizziness, Headache, Nausea",Severe,Pending
Cefzepam73,Antihistamine,Depression treatment,Rash,Severe,Approved
Mecoxetine49,Antihistamine,Depression treatment,Rash,Severe,Pending
Amoxvir19,Antifungal,Viral infections,"Fatigue, Rash",Mild,Pending
Zyloparin70,Anti-inflammatory,Depression treatment,Constipation,Moderate,Pending
Seroprofen35,Antipyretic,Fever reduction,"Rash, Diarrhea",Mild,Rejected
Daxozole11,Antibiotic,Fungal infections,"Rash, Headache, Nausea",Severe,Rejected
Amoxstatin67,Anti-inflammatory,Viral infections,"Dizziness, Headache",Moderate,Pending
Mecoxetine94,Antihistamine,Bacterial infections,"Headache, Nausea",Severe,Rejected
Loxoparin76,Antipyretic,Fever reduction,"Rash, Insomnia, Fatigue",Mild,Rejected
Virazole73,Analgesic,Fungal infections,"Nausea, Insomnia, Diarrhea",Mild,Pending
Loxozole57,Antibiotic,Bacterial infections,Dry mouth,Severe,Approved
Viraxetine66,Vaccine,Psychosis control,"Headache, Dry mouth, Dizziness",Moderate,Pending
Daxomab70,Antidepressant,Inflammation reduction,"Fatigue, Diarrhea",Mild,Rejected
Seroxetine12,Anti-inflammatory,Bacterial infections,"Insomnia, Nausea",Moderate,Rejected
Fenocillin31,Analgesic,Depression treatment,Blurred vision,Moderate,Rejected
Zylomab94,Antibiotic,Fungal infections,"Insomnia, Diarrhea",Mild,Pending
Cefstatin97,Anti-inflammatory,Psychosis control,"Blurred vision, Rash",Mild,Approved
Virazole36,Antipyretic,Viral infections,"Headache, Dry mouth, Constipation",Moderate,Approved
Rivavir88,Antidepressant,Inflammation reduction,Dizziness,Mild,Pending
Viraparin98,Antipyretic,Inflammation reduction,"Constipation, Fatigue",Severe,Pending
Daxocillin23,Vaccine,Allergy relief,"Fatigue, Diarrhea, Rash",Mild,Pending
Rivaprofen78,Antihistamine,Allergy relief,"Fatigue, Dizziness, Constipation",Severe,Approved
Serovir30,Antipyretic,Bacterial infections,"Nausea, Rash, Blurred vision",Severe,Pending
Serostatin20,Antihistamine,Bacterial infections,"Constipation, Fatigue, Diarrhea",Mild,Approved
Seroprofen18,Antifungal,Fungal infections,"Rash, Insomnia, Blurred vision",Mild,Pending
Viradipine57,Analgesic,Fungal infections,"Dizziness, Blurred vision, Rash",Moderate,Approved
Cefvir57,Antiviral,Fungal infections,"Rash, Nausea, Fatigue",Moderate,Rejected
Seroprofen98,Antiviral,Inflammation reduction,"Blurred vision, Dry mouth",Moderate,Rejected
Rivazole34,Antibiotic,Fungal infections,"Dry mouth, Dizziness, Fatigue",Mild,Pending
Fenoprofen71,Antipsychotic,Psychosis control,"Fatigue, Diarrhea",Moderate,Pending
Mecodipine29,Antidepressant,Inflammation reduction,"Blurred vision, Rash",Severe,Approved
Serozepam87,Antibiotic,Prevent infectious disease,"Blurred vision, Insomnia",Moderate,Approved
Daxovir74,Antipyretic,Bacterial infections,Dizziness,Mild,Rejected
Cefcillin80,Vaccine,Bacterial infections,Fatigue,Mild,Rejected
Zylovir64,Antiviral,Bacterial infections,"Dry mouth, Fatigue, Blurred vision",Mild,Rejected
Seroxetine38,Analgesic,Prevent infectious disease,"Nausea, Dry mouth",Mild,Rejected
Amoxcillin71,Antifungal,Psychosis control,"Insomnia, Blurred vision, Rash",Severe,Pending
Loxodipine99,Antidepressant,Viral infections,"Dizziness, Dry mouth, Nausea",Mild,Rejected
Loxomab63,Antifungal,Inflammation reduction,"Headache, Rash, Nausea",Mild,Approved
Daxovir46,Antipsychotic,Allergy relief,"Dry mouth, Constipation, Diarrhea",Moderate,Rejected
Mecomab45,Analgesic,Allergy relief,"Blurred vision, Insomnia, Constipation",Mild,Rejected
Daxodipine13,Antihistamine,Viral infections,"Nausea, Dry mouth, Rash",Mild,Rejected
Amoxdipine25,Antifungal,Prevent infectious disease,"Dry mouth, Dizziness",Moderate,Rejected
Serovir88,Antiviral,Fungal infections,"Dry mouth, Rash",Moderate,Approved
Rivacillin97,Antifungal,Fungal infections,"Rash, Nausea",Severe,Rejected
Viraxetine77,Vaccine,Viral infections,"Insomnia, Rash, Dizziness",Moderate,Pending
Fenozole89,Antiviral,Pain relief,Blurred vision,Moderate,Rejected
Rivazole49,Vaccine,Depression treatment,Constipation,Moderate,Approved
Daxostatin85,Anti-inflammatory,Bacterial infections,"Dry mouth, Blurred vision, Headache",Mild,Approved
Daxoxetine38,Analgesic,Pain relief,"Blurred vision, Constipation, Dry mouth",Severe,Approved
Amoxdipine23,Antifungal,Pain relief,"Dry mouth, Diarrhea, Constipation",Mild,Pending
Zyloparin24,Antiviral,Depression treatment,"Dizziness, Insomnia",Severe,Pending
Seroparin79,Antipsychotic,Fever reduction,"Dizziness, Insomnia, Headache",Mild,Rejected
Viraxetine60,Antipsychotic,Bacterial infections,"Blurred vision, Dry mouth, Rash",Severe,Rejected
Daxostatin86,Antihistamine,Allergy relief,"Dizziness, Diarrhea, Insomnia",Mild,Rejected
Mecodipine72,Vaccine,Depression treatment,Rash,Moderate,Approved
Cefmab95,Vaccine,Pain relief,Dry mouth,Mild,Approved
Rivacillin96,Antihistamine,Pain relief,"Nausea, Dry mouth",Severe,Rejected
Rivadipine34,Antibiotic,Depression treatment,Headache,Severe,Pending
Zylomab16,Antipyretic,Psychosis control,"Rash, Blurred vision, Dry mouth",Moderate,Pending
Loxoparin23,Antibiotic,Allergy relief,"Dizziness, Blurred vision, Dry mouth",Moderate,Pending
Fenodipine42,Antibiotic,Prevent infectious disease,"Dizziness, Diarrhea",Moderate,Pending
Rivastatin59,Antidepressant,Fungal infections,Fatigue,Mild,Approved
Fenocillin27,Vaccine,Fever reduction,"Nausea, Blurred vision",Moderate,Rejected
Cefcillin64,Antifungal,Fever reduction,"Nausea, Diarrhea",Mild,Rejected
Viravir35,Antidepressant,Fungal infections,"Nausea, Rash",Moderate,Rejected
Daxostatin64,Vaccine,Viral infections,"Rash, Dry mouth",Mild,Rejected
Serodipine62,Antipsychotic,Viral infections,"Nausea, Dry mouth",Moderate,Rejected
Seroxetine96,Antipyretic,Inflammation reduction,"Blurred vision, Insomnia",Mild,Rejected
Daxoparin84,Anti-inflammatory,Pain relief,"Headache, Constipation",Moderate,Pending
