drug_name,drug_class,indications,side_effects,side_effect_severity,approval_status
Seroxetine50,Antidepressant,Allergy relief,"Fatigue,Nausea",mild,Pending
Mecoparin93,Vaccine,Allergy relief,Nausea,mild,Approved
Daxozole89,Antipsychotic,Allergy relief,"Diarrhea,Blurred vision,Dizziness",moderate,Pending
Viracillin84,Antifungal,Inflammation reduction,"Fatigue,Dry mouth",mild,Rejected
Amoxstatin62,Antidepressant,Psychosis control,"Insomnia,Dry mouth,Fatigue",moderate,Pending
Loxocillin72,Antifungal,Viral infections,"Rash,Dizziness",moderate,Rejected
Fenoxetine43,Anti-inflammatory,Psychosis control,Blurred vision,mild,Pending
Fenomab17,Analgesic,Bacterial infections,Nausea,severe,Approved
Cefparin42,Analgesic,Prevent infectious disease,Dry mouth,moderate,Approved
Rivaprofen81,Antibiotic,Bacterial infections,"Insomnia,Fatigue,Headache",severe,Approved
Fenocillin43,Antiviral,Allergy relief,"Dizziness,Fatigue",severe,Rejected
Amoxxetine60,Antihistamine,Allergy relief,Dry mouth,moderate,Approved
Zylomab54,Antiviral,Fungal infections,"Rash,Diarrhea,Insomnia",moderate,Approved
Amoxstatin52,Antibiotic,Depression treatment,"Constipation,Diarrhea,Blurred vision",mild,Pending
Virazole50,Antipyretic,Viral infections,"Headache,Dizziness,Constipation",severe,Rejected
Cefprofen42,Antipsychotic,Allergy relief,"Dizziness,Insomnia,Constipation",severe,Approved
Cefzole42,Antidepressant,Pain relief,Blurred vision,severe,Rejected
Fenomab41,Antibiotic,Fever reduction,"Headache,Diarrhea,Insomnia",severe,Pending
Mecoparin65,Antiviral,Bacterial infections,"Fatigue,Diarrhea",mild,Pending
Seroxetine86,Antibiotic,Inflammation reduction,"Rash,Fatigue",severe,Pending
Zylostatin70,Antipyretic,Depression treatment,"Diarrhea,Insomnia",severe,Approved
Amoxstatin45,Antipsychotic,Inflammation reduction,Diarrhea,severe,Pending
Cefmab58,Antipsychotic,Fungal infections,Headache,mild,Rejected
Amoxvir52,Antihistamine,Fungal infections,"Dry mouth,Insomnia",mild,Rejected
Zyloparin93,Antiviral,Bacterial infections,Fatigue,severe,Pending
Daxoprofen23,Antibiotic,Pain relief,"Fatigue,Nausea",mild,Rejected
Loxomab59,Antipsychotic,Bacterial infections,Dry mouth,severe,Pending
Serodipine76,Antipsychotic,Fungal infections,"Fatigue,Diarrhea",severe,Approved
Loxozepam62,Anti-inflammatory,Depression treatment,"Insomnia,Rash,Constipation",moderate,Pending
Rivaprofen67,Anti-inflammatory,Fever reduction,"Fatigue,Nausea,Dizziness",severe,Rejected
Viraparin11,Antipyretic,Bacterial infections,Insomnia,mild,Rejected
Fenoparin78,Antidepressant,Allergy relief,Fatigue,mild,Approved
Cefmab22,Anti-inflammatory,Depression treatment,"Rash,Dizziness,Diarrhea",severe,Approved
Fenocillin11,Antihistamine,Depression treatment,Headache,severe,Approved
Daxoparin20,Antipsychotic,Fever reduction,"Diarrhea,Blurred vision,Headache",moderate,Approved
Amoxzepam36,Vaccine,Inflammation reduction,"Headache,Dry mouth,Nausea",moderate,Pending
Mecodipine51,Antiviral,Allergy relief,Insomnia,moderate,Rejected
Daxomab60,Antiviral,Bacterial infections,Rash,moderate,Rejected
Viraparin98,Antipsychotic,Inflammation reduction,"Constipation,Diarrhea,Blurred vision",mild,Pending
Mecoprofen83,Antidepressant,Pain relief,"Blurred vision,Nausea",mild,Rejected
Mecozole78,Antipyretic,Prevent infectious disease,"Dizziness,Diarrhea",moderate,Rejected
Amoxvir15,Anti-inflammatory,Bacterial infections,"Nausea,Dry mouth,Diarrhea",moderate,Approved
Cefcillin81,Antiviral,Depression treatment,"Headache,Blurred vision",mild,Rejected
Amoxvir70,Antipsychotic,Viral infections,"Dizziness,Headache,Nausea",severe,Pending
Cefzepam73,Antihistamine,Depression treatment,Rash,severe,Approved
Mecoxetine49,Antihistamine,Depression treatment,Rash,severe,Pending
Amoxvir19,Antifungal,Viral infections,"Fatigue,Rash",mild,Pending
Zyloparin70,Anti-inflammatory,Depression treatment,Constipation,moderate,Pending
Seroprofen35,Antipyretic,Fever reduction,"Rash,Diarrhea",mild,Rejected
Daxozole11,Antibiotic,Fungal infections,"Rash,Headache,Nausea",severe,Rejected
Amoxstatin67,Anti-inflammatory,Viral infections,"Dizziness,Headache",moderate,Pending
Mecoxetine94,Antihistamine,Bacterial infections,"Headache,Nausea",severe,Rejected
Loxoparin76,Antipyretic,Fever reduction,"Rash,Insomnia,Fatigue",mild,Rejected
Virazole73,Analgesic,Fungal infections,"Nausea,Insomnia,Diarrhea",mild,Pending
Loxozole57,Antibiotic,Bacterial infections,Dry mouth,severe,Approved
Viraxetine66,Vaccine,Psychosis control,"Headache,Dry mouth,Dizziness",moderate,Pending
Daxomab70,Antidepressant,Inflammation reduction,"Fatigue,Diarrhea",mild,Rejected
Seroxetine12,Anti-inflammatory,Bacterial infections,"Insomnia,Nausea",moderate,Rejected
Fenocillin31,Analgesic,Depression treatment,Blurred vision,moderate,Rejected
Zylomab94,Antibiotic,Fungal infections,"Insomnia,Diarrhea",mild,Pending
Cefstatin97,Anti-inflammatory,Psychosis control,"Blurred vision,Rash",mild,Approved
Virazole36,Antipyretic,Viral infections,"Headache,Dry mouth,Constipation",moderate,Approved
Rivavir88,Antidepressant,Inflammation reduction,Dizziness,mild,Pending
Viraparin98,Antipyretic,Inflammation reduction,"Constipation,Fatigue",severe,Pending
Daxocillin23,Vaccine,Allergy relief,"Fatigue,Diarrhea,Rash",mild,Pending
Rivaprofen78,Antihistamine,Allergy relief,"Fatigue,Dizziness,Constipation",severe,Approved
Serovir30,Antipyretic,Bacterial infections,"Nausea,Rash,Blurred vision",severe,Pending
Serostatin20,Antihistamine,Bacterial infections,"Constipation,Fatigue,Diarrhea",mild,Approved
Seroprofen18,Antifungal,Fungal infections,"Rash,Insomnia,Blurred vision",mild,Pending
Viradipine57,Analgesic,Fungal infections,"Dizziness,Blurred vision,Rash",moderate,Approved
Cefvir57,Antiviral,Fungal infections,"Rash,Nausea,Fatigue",moderate,Rejected
Seroprofen98,Antiviral,Inflammation reduction,"Blurred vision,Dry mouth",moderate,Rejected
Rivazole34,Antibiotic,Fungal infections,"Dry mouth,Dizziness,Fatigue",mild,Pending
Fenoprofen71,Antipsychotic,Psychosis control,"Fatigue,Diarrhea",moderate,Pending
Mecodipine29,Antidepressant,Inflammation reduction,"Blurred vision,Rash",severe,Approved
Serozepam87,Antibiotic,Prevent infectious disease,"Blurred vision,Insomnia",moderate,Approved
Daxovir74,Antipyretic,Bacterial infections,Dizziness,mild,Rejected
Cefcillin80,Vaccine,Bacterial infections,Fatigue,mild,Rejected
Zylovir64,Antiviral,Bacterial infections,"Dry mouth,Fatigue,Blurred vision",mild,Rejected
Seroxetine38,Analgesic,Prevent infectious disease,"Nausea,Dry mouth",mild,Rejected
Amoxcillin71,Antifungal,Psychosis control,"Insomnia,Blurred vision,Rash",severe,Pending
Loxodipine99,Antidepressant,Viral infections,"Dizziness,Dry mouth,Nausea",mild,Rejected
Loxomab63,Antifungal,Inflammation reduction,"Headache,Rash,Nausea",mild,Approved
Daxovir46,Antipsychotic,Allergy relief,"Dry mouth,Constipation,Diarrhea",moderate,Rejected
Mecomab45,Analgesic,Allergy relief,"Blurred vision,Insomnia,Constipation",mild,Rejected
Daxodipine13,Antihistamine,Viral infections,"Nausea,Dry mouth,Rash",mild,Rejected
Amoxdipine25,Antifungal,Prevent infectious disease,"Dry mouth,Dizziness",moderate,Rejected
Serovir88,Antiviral,Fungal infections,"Dry mouth,Rash",moderate,Approved
Rivacillin97,Antifungal,Fungal infections,"Rash,Nausea",severe,Rejected
Viraxetine77,Vaccine,Viral infections,"Insomnia,Rash,Dizziness",moderate,Pending
Fenozole89,Antiviral,Pain relief,Blurred vision,moderate,Rejected
Rivazole49,Vaccine,Depression treatment,Constipation,moderate,Approved
Daxostatin85,Anti-inflammatory,Bacterial infections,"Dry mouth,Blurred vision,Headache",mild,Approved
Daxoxetine38,Analgesic,Pain relief,"Blurred vision,Constipation,Dry mouth",severe,Approved
Amoxdipine23,Antifungal,Pain relief,"Dry mouth,Diarrhea,Constipation",mild,Pending
Zyloparin24,Antiviral,Depression treatment,"Dizziness,Insomnia",severe,Pending
Seroparin79,Antipsychotic,Fever reduction,"Dizziness,Insomnia,Headache",mild,Rejected
Viraxetine60,Antipsychotic,Bacterial infections,"Blurred vision,Dry mouth,Rash",severe,Rejected
Daxostatin86,Antihistamine,Allergy relief,"Dizziness,Diarrhea,Insomnia",mild,Rejected
Mecodipine72,Vaccine,Depression treatment,Rash,moderate,Approved
Cefmab95,Vaccine,Pain relief,Dry mouth,mild,Approved
Rivacillin96,Antihistamine,Pain relief,"Nausea,Dry mouth",severe,Rejected
Rivadipine34,Antibiotic,Depression treatment,Headache,severe,Pending
Zylomab16,Antipyretic,Psychosis control,"Rash,Blurred vision,Dry mouth",moderate,Pending
Loxoparin23,Antibiotic,Allergy relief,"Dizziness,Blurred vision,Dry mouth",moderate,Pending
Fenodipine42,Antibiotic,Prevent infectious disease,"Dizziness,Diarrhea",moderate,Pending
Rivastatin59,Antidepressant,Fungal infections,Fatigue,mild,Approved
Fenocillin27,Vaccine,Fever reduction,"Nausea,Blurred vision",moderate,Rejected
Cefcillin64,Antifungal,Fever reduction,"Nausea,Diarrhea",mild,Rejected
Viravir35,Antidepressant,Fungal infections,"Nausea,Rash",moderate,Rejected
Daxostatin64,Vaccine,Viral infections,"Rash,Dry mouth",mild,Rejected
Serodipine62,Antipsychotic,Viral infections,"Nausea,Dry mouth",moderate,Rejected
Seroxetine96,Antipyretic,Inflammation reduction,"Blurred vision,Insomnia",mild,Rejected
Daxoparin84,Anti-inflammatory,Pain relief,"Headache,Constipation",moderate,Pending
Zylozepam34,Analgesic,Fungal infections,"Constipation,Blurred vision",mild,Approved
Amoxdipine13,Antifungal,Allergy relief,"Dizziness,Insomnia",moderate,Approved
Rivamab32,Antifungal,Depression treatment,"Diarrhea,Insomnia,Dizziness",mild,Pending
